State,Date,Retail_and_recreation_percent_change_from_baseline,Grocery_and_pharmacy_percent_change_from_baseline,Parks_percent_change_from_baseline,Workplaces_percent_change_from_baseline,Transit_stations_percent_change_from_baseline,Residential_percent_change_from_baseline
Alabama,15-Feb,5.155172414,0.230769231,49.57142857,0.784313725,5.761904762,-0.863636364
Alabama,16-Feb,-1.454545455,-4.015625,-5.476190476,-1.92,2.136363636,0.523809524
Alabama,17-Feb,-1.169491525,-4.476190476,12.93333333,-16.26470588,5.727272727,4.333333333
Alabama,18-Feb,-4.280701754,-5,-12.46666667,0.338235294,-0.681818182,1.435897436
Alabama,19-Feb,1.438596491,-0.73015873,6.666666667,1.397058824,3.714285714,0
Alabama,20-Feb,-7.568965517,-6.6875,-27.58823529,-0.676470588,1.363636364,2.923076923
Alabama,21-Feb,0.523809524,-2.8,9.333333333,1.441176471,6.136363636,0.315789474
Alabama,22-Feb,4.913793103,0.784615385,61.58333333,4.764705882,10.31818182,-1.454545455
Alabama,23-Feb,3.145454545,0.349206349,12.05555556,1.06,10.81818182,-0.333333333
Alabama,24-Feb,-3.684210526,-5.85483871,-19.6,0.617647059,-1.5,2.153846154
Alabama,25-Feb,8.403508772,-0.609375,31.83333333,0.985294118,5.681818182,-0.41025641
Alabama,26-Feb,18.63157895,3.492063492,5,1.882352941,10.71428571,-1.205128205
Alabama,27-Feb,16.64912281,5.838709677,9.846153846,2.102941176,10.18181818,-0.974358974
Alabama,28-Feb,14.22580645,6.015625,20.35714286,1,8,-1.578947368
Alabama,29-Feb,19.68965517,9.015625,73.33333333,4.058823529,19.6,-3.043478261
Alabama,1-Mar,22.57407407,9.836065574,43.86666667,2.92,22.2,-2.095238095
Alabama,2-Mar,10.03508772,2.380952381,-11.93333333,2.507462687,2.590909091,0.564102564
Alabama,3-Mar,26.51785714,15.20967742,33.25,1.617647059,5.636363636,-1.384615385
Alabama,4-Mar,7.421052632,-1.492063492,-5.583333333,-0.294117647,2.80952381,1.076923077
Alabama,5-Mar,10.10526316,6.09375,-1,1.573529412,4.409090909,0.794871795
Alabama,6-Mar,9.147540984,1.578125,27.35714286,1.75,9.636363636,-1.078947368
Alabama,7-Mar,14.43103448,5.96875,75.81818182,6.784313725,19.35,-2.636363636
Alabama,8-Mar,14.94444444,6.919354839,57.92307692,3.34,19.85714286,-1.333333333
Alabama,9-Mar,11.75438596,6.063492063,35.23076923,2.164179104,7.5,-1
Alabama,10-Mar,10.49122807,5.682539683,21,0.573529412,5.181818182,0.076923077
Alabama,11-Mar,10.66666667,6.5,27.08333333,0.911764706,6.666666667,-0.846153846
Alabama,12-Mar,14.21052632,18.61290323,43.53846154,1.343283582,9.954545455,-1.384615385
Alabama,13-Mar,8.095238095,28.15625,23.2,-0.323529412,7.136363636,-0.189189189
Alabama,14-Mar,7.034482759,28.34920635,61.18181818,3.960784314,13.55,-0.363636364
Alabama,15-Mar,-1.690909091,16.7704918,2.529411765,-2.98,7.272727273,2.476190476
Alabama,16-Mar,1.719298246,22.73770492,13.92857143,-6.411764706,2.136363636,3.513513514
Alabama,17-Mar,-5.894736842,15.77419355,27.16666667,-12.66176471,1.090909091,5.864864865
Alabama,18-Mar,-9.103448276,14.04918033,42,-16.52941176,-0.619047619,7
Alabama,19-Mar,-14.16949153,16.80327869,22.33333333,-19.67647059,-2.863636364,8.891891892
Alabama,20-Mar,-24.90625,10.6875,5.333333333,-23.80882353,-10.625,12.42424242
Alabama,21-Mar,-28.78688525,8.828125,22.42857143,-14.2037037,-9.681818182,8.142857143
Alabama,22-Mar,-35.33333333,-5.322580645,1.5,-25.23529412,-19.54545455,8.882352941
Alabama,23-Mar,-28.98275862,-4.492063492,-16.6,-27.30882353,-20.30434783,13.5
Alabama,24-Mar,-27.38333333,-5.426229508,2.75,-28.61764706,-14.22727273,13.36363636
Alabama,25-Mar,-22.71186441,-2.838709677,34.4,-29.63235294,-12.18181818,12.24242424
