Trends in Number of COVID-19 Vaccinations in the US
Date generated: Tue Mar 16 2021 12:35:30 GMT-0400 (Eastern Daylight Time)

Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2020-12-14,US,3629,3510,4,15766,14133,1359,7067,7883,680,null,null,4,14133,1363,681
Report,2020-12-14,US,null,null,null,null,null,null,null,null,null,509,255,null,null,null,null
Admin,2020-12-14,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,2020-12-15,US,48827,45403,25,64593,59536,1384,19845,21531,461,null,null,26,59536,1389,463
Report,2020-12-15,US,null,null,null,null,null,null,null,null,null,12129,4213,null,null,null,null
Admin,2020-12-16,US,157954,151102,196,222547,210638,1580,52660,55636,395,null,null,196,210638,1585,396
Report,2020-12-16,US,null,null,null,null,null,null,null,null,null,38996,12909,null,null,null,null
Admin,2020-12-17,US,270586,259792,476,493133,470430,2056,94086,98626,411,null,null,476,470430,2061,412
Report,2020-12-17,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,2020-12-18,US,411208,400003,558,904341,870433,2614,145072,150723,436,null,null,558,870433,2619,436
Report,2020-12-18,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,2020-12-19,US,179583,175025,689,1083924,1045458,3303,149351,154846,472,null,null,689,1045458,3308,472
Report,2020-12-19,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,2020-12-20,US,102425,100305,452,1186349,1145763,3755,162163,167744,343,null,null,453,1145763,3761,343
Admin,2020-12-21,US,375985,367728,729,1562334,1513491,4484,214194,220938,446,null,null,730,1513491,4491,446
Report,2020-12-21,US,null,null,null,null,null,null,null,null,null,149957,114422,null,null,null,null
Admin,2020-12-22,US,442279,433201,1871,2004613,1946692,6355,269594,277145,710,null,null,1871,1946692,6362,710
Admin,2020-12-23,US,559609,547660,1574,2564222,2494352,7929,326245,334525,907,null,null,1574,2494352,7936,907
Admin,2020-12-24,US,191199,185709,825,2755421,2680061,8754,315662,323184,957,null,null,825,2680061,8761,957
Admin,2020-12-25,US,11897,11808,35,2767318,2691869,8789,260205,266139,882,null,null,35,2691869,8796,882
