State,Code,Day,daily_vaccinations_per_million
Alabama,1,2021-01-13,0.1205
Alabama,1,2021-01-14,0.1445
Alabama,1,2021-01-15,0.1525
Alabama,1,2021-01-16,0.1529
Alabama,1,2021-01-17,0.1531
Alabama,1,2021-01-18,0.1533
Alabama,1,2021-01-19,0.1534
Alabama,1,2021-01-20,0.1607
Alabama,1,2021-01-21,0.2145
Alabama,1,2021-01-22,0.2877
Alabama,1,2021-01-23,0.3304
Alabama,1,2021-01-24,0.3731
Alabama,1,2021-01-25,0.3711
Alabama,1,2021-01-26,0.3618
Alabama,1,2021-01-27,0.3707
Alabama,1,2021-01-28,0.3294
Alabama,1,2021-01-29,0.296
Alabama,1,2021-01-30,0.3522
Alabama,1,2021-01-31,0.3212
Alabama,1,2021-02-01,0.3137
Alabama,1,2021-02-02,0.3407
Alabama,1,2021-02-03,0.3552
Alabama,1,2021-02-04,0.3771
Alabama,1,2021-02-05,0.3778
Alabama,1,2021-02-06,0.3285
Alabama,1,2021-02-07,0.3157
Alabama,1,2021-02-08,0.3186
Alabama,1,2021-02-09,0.347
Alabama,1,2021-02-10,0.3714
Alabama,1,2021-02-11,0.3928
Alabama,1,2021-02-12,0.4094
Alabama,1,2021-02-13,0.4253
Alabama,1,2021-02-14,0.4368
Alabama,1,2021-02-15,0.4569
Alabama,1,2021-02-16,0.4245
Alabama,1,2021-02-17,0.3911
Alabama,1,2021-02-18,0.3753
Alabama,1,2021-02-19,0.4895
Alabama,1,2021-02-20,0.5121
Alabama,1,2021-02-21,0.5138
Alabama,1,2021-02-22,0.4928
Alabama,1,2021-02-23,0.5198
Alabama,1,2021-02-24,0.5527
Alabama,1,2021-02-25,0.5615
Alabama,1,2021-02-26,0.4508
Alabama,1,2021-02-27,0.4491
Alabama,1,2021-02-28,0.4484
Alabama,1,2021-03-01,0.451
Alabama,1,2021-03-02,0.4576
Alabama,1,2021-03-03,0.4671
Alabama,1,2021-03-04,0.4878
Alabama,1,2021-03-05,0.4974
Alabama,1,2021-03-06,0.4913
Alabama,1,2021-03-07,0.4884
Alabama,1,2021-03-08,0.4903
Alabama,1,2021-03-09,0.4919
Alabama,1,2021-03-10,0.5063
Alabama,1,2021-03-11,0.5175
Alabama,1,2021-03-12,0.5379
Alabama,1,2021-03-13,0.5493
Alabama,1,2021-03-14,0.5492
Alabama,1,2021-03-15,0.5528
Alabama,1,2021-03-16,0.5574
Alabama,1,2021-03-17,0.5541
Alabama,1,2021-03-18,0.5252
Alabama,1,2021-03-19,0.5171
Alabama,1,2021-03-20,0.5027
Alabama,1,2021-03-21,0.5071
Alabama,1,2021-03-22,0.5036
Alabama,1,2021-03-23,0.5161
Alabama,1,2021-03-24,0.5199
Alabama,1,2021-03-25,0.5507
Alabama,1,2021-03-26,0.5382
Alabama,1,2021-03-27,0.5392
Alabama,1,2021-03-28,0.5432
Alabama,1,2021-03-29,0.5457
Alabama,1,2021-03-30,0.5483
Alabama,1,2021-03-31,0.5429
Alabama,1,2021-04-01,0.562
Alabama,1,2021-04-02,0.5887
Alabama,1,2021-04-03,0.5867
Alabama,1,2021-04-04,0.5819
Alabama,1,2021-04-05,0.5777
Alabama,1,2021-04-06,0.5806
Alabama,1,2021-04-07,0.6016
Alabama,1,2021-04-08,0.5954
Alabama,1,2021-04-09,0.6056
Alabama,1,2021-04-10,0.6354
Alabama,1,2021-04-11,0.652
Alabama,1,2021-04-12,0.6632
Alabama,1,2021-04-13,0.6713
Alabama,1,2021-04-14,0.6808
Alabama,1,2021-04-15,0.6732
Alabama,1,2021-04-16,0.6533
Alabama,1,2021-04-17,0.6275
Alabama,1,2021-04-18,0.6109
Alabama,1,2021-04-19,0.5975
Alabama,1,2021-04-20,0.584
Alabama,1,2021-04-21,0.5584
Alabama,1,2021-04-22,0.5446
Alabama,1,2021-04-23,0.5363
Alabama,1,2021-04-24,0.5268
Alabama,1,2021-04-25,0.5219
Alabama,1,2021-04-26,0.5264
Alabama,1,2021-04-27,0.5009
Alabama,1,2021-04-28,0.4874
Alabama,1,2021-04-29,0.4826
Alabama,1,2021-04-30,0.4706
Alabama,1,2021-05-01,0.4542
Alabama,1,2021-05-02,0.4408
Alabama,1,2021-05-03,0.4344
Alabama,1,2021-05-04,0.4224
Alabama,1,2021-05-05,0.417
Alabama,1,2021-05-06,0.3299
Alabama,1,2021-05-07,0.3939
Alabama,1,2021-05-08,0.4097
Alabama,1,2021-05-09,0.4239
Alabama,1,2021-05-10,0.4262
Alaska,2,2021-01-13,0.3885
Alaska,2,2021-01-14,0.4619
Alaska,2,2021-01-15,0.6015
Alaska,2,2021-01-16,0.5989
Alaska,2,2021-01-17,0.5972
Alaska,2,2021-01-18,0.5963
Alaska,2,2021-01-19,0.5955
Alaska,2,2021-01-20,0.5782
Alaska,2,2021-01-21,0.5724
Alaska,2,2021-01-22,0.6261
Alaska,2,2021-01-23,0.6831
Alaska,2,2021-01-24,0.7142
Alaska,2,2021-01-25,0.6839
Alaska,2,2021-01-26,0.6213
Alaska,2,2021-01-27,0.6504
Alaska,2,2021-01-28,0.663
Alaska,2,2021-01-29,0.5722
Alaska,2,2021-01-30,0.5257
Alaska,2,2021-01-31,0.4947
Alaska,2,2021-02-01,0.488
Alaska,2,2021-02-02,0.4939
Alaska,2,2021-02-03,0.472
Alaska,2,2021-02-04,0.4702
Alaska,2,2021-02-05,0.4609
Alaska,2,2021-02-06,0.4663
Alaska,2,2021-02-07,0.5174
Alaska,2,2021-02-08,0.5647
Alaska,2,2021-02-09,0.5747
Alaska,2,2021-02-10,0.5955
Alaska,2,2021-02-11,0.6315
Alaska,2,2021-02-12,0.6529
Alaska,2,2021-02-13,0.7029
Alaska,2,2021-02-14,0.7372
Alaska,2,2021-02-15,0.7125
Alaska,2,2021-02-16,0.7447
Alaska,2,2021-02-17,0.7296
Alaska,2,2021-02-18,0.7201
Alaska,2,2021-02-19,0.9528
Alaska,2,2021-02-20,1.0206
Alaska,2,2021-02-21,1.002
Alaska,2,2021-02-22,0.9932
Alaska,2,2021-02-23,0.9552
Alaska,2,2021-02-24,0.9771
Alaska,2,2021-02-25,0.9844
Alaska,2,2021-02-26,0.7442
Alaska,2,2021-02-27,0.6276
Alaska,2,2021-02-28,0.5781
Alaska,2,2021-03-01,0.5883
Alaska,2,2021-03-02,0.5862
Alaska,2,2021-03-03,0.58
Alaska,2,2021-03-04,0.5338
Alaska,2,2021-03-05,0.5298
Alaska,2,2021-03-06,0.568
Alaska,2,2021-03-07,0.5918
Alaska,2,2021-03-08,0.5807
Alaska,2,2021-03-09,0.6395
Alaska,2,2021-03-10,0.6721
